tracks,artist,id,year,valence,real gdp growth,unemployment rate
Prisoner of Love - Remastered - 1992,Perry Como,4caBvUyMq6C2ZtN9T0ROjT,1946,0.185,-11.60%,3.90%
Near You,Francis Craig,0i7GVS1YRgSOvqNz1Ganhl,1947,0.533,-1.10%,3.90%
Twelfth Street Rag,Pee Wee Hunt,0Ec85AbUzt5SRDnsiBodml,1948,0.943,4.10%,4%
Riders In the Sky,Vaughn Monroe,6llTPEB5phgi7Pf1yx3fzJ,1949,0.336,-0.60%,6.60%
Goodnight Irene,Gordon Jenkins & His Orchestra,1fhLgOJgIIZEsWWffk8ljs,1950,0.556,8.70%,4.30%
Too Young,Nat King Cole,0zII0Soax7wbm3Avw7iVAd,1951,0.203,8.00%,3.10%
Blue Tango,Leroy Anderson,6ecG5Am0TRxn0uwZBQHA3L,1952,0.649,4.10%,2.70%
Song From Moulin Rouge,Percy Faith & His Orchestra,5fcIZbzFP3lECBqvu9VLcu,1953,0.164,4.70%,4.50%
Little Things Mean a Lot,Kitty Kallen,2GD8ojzhaKDkfaGWX5n3oT,1954,0.343,-0.60%,5%
Cherry Pink And Apple Blossom White,Pérez Prado,5HisVcYPaIB4uHdrnW6HCt,1955,0.707,7.10%,4.20%
Heartbreak Hotel,Elvis Presley,6xNwKNYZcvgV3XTIwsgNio,1956,0.717,2.10%,4.20%
All Shook Up,Elvis Presley,5ueyLj6e6oVaTY0KQ6yLaA,1957,0.952,2.10%,5.20%
Nel blu dipinto di blu,Domenico Modugno,006Ndmw2hHxvnLbJsBFnPx,1958,0.336,-0.70%,6.20%
The Battle Of New Orleans,Johnny Horton,0dwpdcQkeZqpuoAPYD49N3,1959,0.921,6.90%,5.30%
"The Theme from ""A Summer Place"" - Single Version",Percy Faith & His Orchestra,2kKL5kk4On8YRSKWDgXWMX,1960,0.749,2.60%,6.60%
Tossin' And Turnin',Bobby Lewis,79s3pSe1u6ggQBEwVPm58Z,1961,0.965,2.60%,6%
Stranger On The Shore,Acker Bilk,6EwVwaoy9j9mfKAvksVwC8,1962,0.227,6.10%,5.50%
Sugar Shack,Jimmy Gilmer & The Fireballs,7g0RYi9itCZ1NqmE1h6RLp,1963,0.881,4.40%,5.50%
I Want To Hold Your Hand - Remastered 2009,The Beatles,5Qe7NHxeLAn8KoLTNLSdwe,1964,0.936,5.80%,5%
Wooly Bully,Sam The Sham & The Pharaohs,2XkuSbp5say8nZW8g6156Z,1965,0.558,6.50%,4%
The Ballad Of The Green Berets,Sgt. Barry Sadler,0yjNmllr3Ew6f97TqPuEqa,1966,0.713,6.60%,3.80%
To Sir with Love,Lulu,0gBFr7N2D1GfhkXIIepIGG,1967,0.301,2.70%,3.80%
